id,t,on
21,0,True
21,1,True
21,2,True
21,3,True
21,4,True
21,5,True
21,6,True
21,7,True
21,8,True
21,9,True
21,10,True
21,11,True
21,12,True
21,13,True
21,14,True
21,15,True
21,16,True
21,17,True
21,18,True
21,19,True
21,20,False
21,21,False
21,22,False
21,23,False
21,24,False
21,25,False
21,26,False
21,27,False
21,28,False
21,29,False
21,30,False
21,31,False
21,32,False
21,33,False
21,34,False
21,35,False
21,36,False
21,37,False
21,38,False
21,39,False
21,40,False
21,41,False
21,42,False
21,43,False
21,44,False
21,45,False
21,46,False
21,47,False
21,48,False
21,49,False
21,50,False
21,51,False
21,52,False
21,53,False
21,54,False
21,55,False
21,56,False
21,57,False
21,58,False
21,59,False
21,60,False
21,61,False
21,62,False
21,63,False
21,64,False
21,65,False
21,66,False
21,67,False
21,68,False
21,69,False
21,70,False
21,71,False
21,72,False
21,73,False
21,74,False
21,75,False
21,76,False
21,77,False
21,78,False
21,79,False
21,80,False
21,81,False
21,82,False
21,83,False
21,84,False
21,85,False
21,86,False
21,87,False
21,88,False
21,89,False
21,90,False
21,91,False
21,92,False
21,93,False
21,94,False
21,95,False
21,96,False
21,97,False
21,98,False
21,99,False
21,100,False
21,101,False
21,102,False
21,103,False
21,104,False
21,105,False
21,106,True
21,107,True
21,108,True
21,109,True
21,110,True
21,111,True
21,112,True
21,113,True
21,114,True
21,115,True
21,116,True
21,117,True
21,118,True
21,119,True
21,120,False
21,121,False
21,122,False
21,123,False
21,124,False
21,125,False
21,126,False
21,127,False
21,128,False
21,129,False
21,130,False
21,131,False
21,132,False
21,133,False
21,134,False
21,135,False
21,136,False
21,137,False
21,138,False
21,139,False
21,140,False
21,141,False
21,142,False
21,143,False
21,144,False
21,145,False
21,146,True
21,147,True
21,148,True
21,149,True
21,150,True
22,0,False
22,1,False
22,2,False
22,3,False
22,4,False
22,5,False
22,6,False
22,7,False
22,8,False
22,9,False
22,10,False
22,11,False
22,12,False
22,13,False
22,14,False
22,15,False
22,16,False
22,17,False
22,18,False
22,19,False
22,20,False
22,21,False
22,22,False
22,23,False
22,24,False
22,25,False
22,26,False
22,27,False
22,28,False
22,29,False
22,30,False
22,31,False
22,32,False
22,33,False
22,34,False
22,35,False
22,36,False
22,37,False
22,38,False
22,39,False
22,40,False
22,41,False
22,42,False
22,43,False
22,44,False
22,45,False
22,46,True
22,47,True
22,48,True
22,49,True
22,50,True
22,51,True
22,52,True
22,53,True
22,54,True
22,55,True
22,56,True
22,57,True
22,58,True
22,59,True
22,60,False
22,61,False
22,62,False
22,63,False
22,64,False
22,65,False
22,66,False
22,67,False
22,68,False
22,69,False
22,70,False
22,71,False
22,72,False
22,73,False
22,74,False
22,75,False
22,76,False
22,77,False
22,78,False
22,79,False
22,80,False
22,81,False
22,82,False
22,83,False
22,84,False
22,85,False
22,86,False
22,87,False
22,88,False
22,89,False
22,90,False
22,91,False
22,92,False
22,93,False
22,94,False
22,95,False
22,96,False
22,97,False
22,98,False
22,99,False
22,100,False
22,101,False
22,102,False
22,103,False
22,104,False
22,105,False
22,106,False
22,107,False
22,108,False
22,109,False
22,110,False
22,111,False
22,112,False
22,113,False
22,114,False
22,115,False
22,116,False
22,117,False
22,118,False
22,119,False
22,120,False
22,121,False
22,122,False
22,123,False
22,124,False
22,125,False
22,126,False
22,127,False
22,128,False
22,129,False
22,130,False
22,131,False
22,132,False
22,133,False
22,134,False
22,135,False
22,136,False
22,137,False
22,138,False
22,139,False
22,140,False
22,141,False
22,142,False
22,143,False
22,144,False
22,145,False
22,146,False
22,147,False
22,148,False
22,149,False
22,150,False
23,0,False
23,1,False
23,2,False
23,3,False
23,4,False
23,5,False
23,6,False
23,7,False
23,8,False
23,9,False
23,10,False
23,11,False
23,12,False
23,13,False
23,14,False
23,15,False
23,16,False
